state,action,value
2rq2k1/ppr3bp/3np3/P2pNpp1/3P1P2/1RP1P2P/2QN2P1/R5K1 w - - 0 24,e5d3,-56
2rq2k1/ppr3bp/3np3/P2p1pp1/3P1P2/1RPNP2P/2QN2P1/R5K1 b - - 1 24,g7f6,-69
2rq2k1/ppr4p/3npb2/P2p1pp1/3P1P2/1RPNP2P/2QN2P1/R5K1 w - - 2 25,d3c5,-42
2rq2k1/ppr4p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/2QN2P1/R5K1 b - - 3 25,d8e8,-34
2r1q1k1/ppr4p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/2QN2P1/R5K1 w - - 4 26,c2b2,-36
2r1q1k1/ppr4p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/1Q1N2P1/R5K1 b - - 5 26,e8e7,-65
2r3k1/ppr1q2p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/1Q1N2P1/R5K1 w - - 6 27,a1b1,-44
2r3k1/ppr1q2p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/1Q1N2P1/1R4K1 b - - 7 27,g8h8,-57
2r4k/ppr1q2p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/1Q1N2P1/1R4K1 w - - 8 28,g1h1,-43
2r4k/ppr1q2p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/1Q1N2P1/1R5K b - - 9 28,h8g8,-16
2r3k1/ppr1q2p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/1Q1N2P1/1R5K w - - 10 29,c5b7,-15
2r3k1/pNr1q2p/3npb2/P2p1pp1/3P1P2/1RP1P2P/1Q1N2P1/1R5K b - - 0 29,d6b7,-8
2r3k1/pnr1q2p/4pb2/P2p1pp1/3P1P2/1RP1P2P/1Q1N2P1/1R5K w - - 0 30,b3b7,0
2r3k1/pRr1q2p/4pb2/P2p1pp1/3P1P2/2P1P2P/1Q1N2P1/1R5K b - - 0 30,c7b7,-19
2r3k1/pr2q2p/4pb2/P2p1pp1/3P1P2/2P1P2P/1Q1N2P1/1R5K w - - 0 31,b2b7,-58
