state,action,value
bn1q1bnr/5k2/4ppp1/1P1p3p/3NP3/2N4P/1PQ2PP1/2B1KB1R b K - 1 14,f8c5,221
bn1q2nr/5k2/4ppp1/1Pbp3p/3NP3/2N4P/1PQ2PP1/2B1KB1R w K - 2 15,d4b3,188
bn1q2nr/5k2/4ppp1/1Pbp3p/4P3/1NN4P/1PQ2PP1/2B1KB1R b K - 3 15,c5b6,188
bn1q2nr/5k2/1b2ppp1/1P1p3p/4P3/1NN4P/1PQ2PP1/2B1KB1R w K - 4 16,f1d3,175
bn1q2nr/5k2/1b2ppp1/1P1p3p/4P3/1NNB3P/1PQ2PP1/2B1K2R b K - 5 16,g8e7,176
bn1q3r/4nk2/1b2ppp1/1P1p3p/4P3/1NNB3P/1PQ2PP1/2B1K2R w K - 6 17,e1g1,170
bn1q3r/4nk2/1b2ppp1/1P1p3p/4P3/1NNB3P/1PQ2PP1/2B2RK1 b - - 7 17,b8d7,172
b2q3r/3nnk2/1b2ppp1/1P1p3p/4P3/1NNB3P/1PQ2PP1/2B2RK1 w - - 8 18,c1f4,166
b2q3r/3nnk2/1b2ppp1/1P1p3p/4PB2/1NNB3P/1PQ2PP1/5RK1 b - - 9 18,g6g5,161
b2q3r/3nnk2/1b2pp2/1P1p2pp/4PB2/1NNB3P/1PQ2PP1/5RK1 w - - 0 19,f4d6,163
b2q3r/3nnk2/1b1Bpp2/1P1p2pp/4P3/1NNB3P/1PQ2PP1/5RK1 b - - 1 19,g5g4,152
b2q3r/3nnk2/1b1Bpp2/1P1p3p/4P1p1/1NNB3P/1PQ2PP1/5RK1 w - - 0 20,h3h4,165
b2q3r/3nnk2/1b1Bpp2/1P1p3p/4P1pP/1NNB4/1PQ2PP1/5RK1 b - - 0 20,d5e4,175
b2q3r/3nnk2/1b1Bpp2/1P5p/4p1pP/1NNB4/1PQ2PP1/5RK1 w - - 0 21,d3e4,142
b2q3r/3nnk2/1b1Bpp2/1P5p/4B1pP/1NN5/1PQ2PP1/5RK1 b - - 0 21,a8e4,179
3q3r/3nnk2/1b1Bpp2/1P5p/4b1pP/1NN5/1PQ2PP1/5RK1 w - - 0 22,c3e4,180
3q3r/3nnk2/1b1Bpp2/1P5p/4N1pP/1N6/1PQ2PP1/5RK1 b - - 0 22,e7f5,196
3q3r/3n1k2/1b1Bpp2/1P3n1p/4N1pP/1N6/1PQ2PP1/5RK1 w - - 1 23,f1d1,202
3q3r/3n1k2/1b1Bpp2/1P3n1p/4N1pP/1N6/1PQ2PP1/3R2K1 b - - 2 23,d8c8,142
2q4r/3n1k2/1b1Bpp2/1P3n1p/4N1pP/1N6/1PQ2PP1/3R2K1 w - - 3 24,b3c5,188
2q4r/3n1k2/1b1Bpp2/1PN2n1p/4N1pP/8/1PQ2PP1/3R2K1 b - - 4 24,b6c5,175
2q4r/3n1k2/3Bpp2/1Pb2n1p/4N1pP/8/1PQ2PP1/3R2K1 w - - 0 25,d6c5,242
2q4r/3n1k2/4pp2/1PB2n1p/4N1pP/8/1PQ2PP1/3R2K1 b - - 0 25,d7c5,235
2q4r/5k2/4pp2/1Pn2n1p/4N1pP/8/1PQ2PP1/3R2K1 w - - 0 26,e4c5,219
2q4r/5k2/4pp2/1PN2n1p/6pP/8/1PQ2PP1/3R2K1 b - - 0 26,h8d8,250
2qr4/5k2/4pp2/1PN2n1p/6pP/8/1PQ2PP1/3R2K1 w - - 1 27,b2b4,194
2qr4/5k2/4pp2/1PN2n1p/1P4pP/8/2Q2PP1/3R2K1 b - - 0 27,c8b8,206
1q1r4/5k2/4pp2/1PN2n1p/1P4pP/8/2Q2PP1/3R2K1 w - - 1 28,d1d8,313
1q1R4/5k2/4pp2/1PN2n1p/1P4pP/8/2Q2PP1/6K1 b - - 0 28,b8d8,212
3q4/5k2/4pp2/1PN2n1p/1P4pP/8/2Q2PP1/6K1 w - - 0 29,c5e6,317
3q4/5k2/4Np2/1P3n1p/1P4pP/8/2Q2PP1/6K1 b - - 0 29,f7e6,286
3q4/8/4kp2/1P3n1p/1P4pP/8/2Q2PP1/6K1 w - - 0 30,c2e4,321
3q4/8/4kp2/1P3n1p/1P2Q1pP/8/5PP1/6K1 b - - 1 30,e6d6,317
3q4/8/3k1p2/1P3n1p/1P2Q1pP/8/5PP1/6K1 w - - 2 31,e4f5,321
3q4/8/3k1p2/1P3Q1p/1P4pP/8/5PP1/6K1 b - - 0 31,d6c7,349
3q4/2k5/5p2/1P3Q1p/1P4pP/8/5PP1/6K1 w - - 1 32,g2g3,341
3q4/2k5/5p2/1P3Q1p/1P4pP/6P1/5P2/6K1 b - - 0 32,d8e8,343
4q3/2k5/5p2/1P3Q1p/1P4pP/6P1/5P2/6K1 w - - 1 33,f5f6,337
4q3/2k5/5Q2/1P5p/1P4pP/6P1/5P2/6K1 b - - 0 33,e8b5,330
8/2k5/5Q2/1q5p/1P4pP/6P1/5P2/6K1 w - - 0 34,f6f7,322
8/2k2Q2/8/1q5p/1P4pP/6P1/5P2/6K1 b - - 1 34,c7b8,302
1k6/5Q2/8/1q5p/1P4pP/6P1/5P2/6K1 w - - 2 35,f7g8,348
1k4Q1/8/8/1q5p/1P4pP/6P1/5P2/6K1 b - - 3 35,b8b7,310
6Q1/1k6/8/1q5p/1P4pP/6P1/5P2/6K1 w - - 4 36,g8g7,317
8/1k4Q1/8/1q5p/1P4pP/6P1/5P2/6K1 b - - 5 36,b7c8,292
2k5/6Q1/8/1q5p/1P4pP/6P1/5P2/6K1 w - - 6 37,g7c3,343
2k5/8/8/1q5p/1P4pP/2Q3P1/5P2/6K1 b - - 7 37,c8b7,285
8/1k6/8/1q5p/1P4pP/2Q3P1/5P2/6K1 w - - 8 38,c3g7,325
8/1k4Q1/8/1q5p/1P4pP/6P1/5P2/6K1 b - - 9 38,b7a6,301
8/6Q1/k7/1q5p/1P4pP/6P1/5P2/6K1 w - - 10 39,g7g5,336
8/8/k7/1q4Qp/1P4pP/6P1/5P2/6K1 b - - 11 39,b5e8,370
4q3/8/k7/6Qp/1P4pP/6P1/5P2/6K1 w - - 12 40,g5a5,332
4q3/8/k7/Q6p/1P4pP/6P1/5P2/6K1 b - - 13 40,a6b7,300
4q3/1k6/8/Q6p/1P4pP/6P1/5P2/6K1 w - - 14 41,b4b5,360
4q3/1k6/8/QP5p/6pP/6P1/5P2/6K1 b - - 0 41,e8e4,294
8/1k6/8/QP5p/4q1pP/6P1/5P2/6K1 w - - 1 42,a5a6,395
8/1k6/Q7/1P5p/4q1pP/6P1/5P2/6K1 b - - 2 42,b7b8,369
1k6/8/Q7/1P5p/4q1pP/6P1/5P2/6K1 w - - 3 43,a6d6,404
1k6/8/3Q4/1P5p/4q1pP/6P1/5P2/6K1 b - - 4 43,b8b7,440
8/1k6/3Q4/1P5p/4q1pP/6P1/5P2/6K1 w - - 5 44,d6a6,369
8/1k6/Q7/1P5p/4q1pP/6P1/5P2/6K1 b - - 6 44,b7b8,376
1k6/8/Q7/1P5p/4q1pP/6P1/5P2/6K1 w - - 7 45,a6d6,425
1k6/8/3Q4/1P5p/4q1pP/6P1/5P2/6K1 b - - 8 45,b8b7,419
8/1k6/3Q4/1P5p/4q1pP/6P1/5P2/6K1 w - - 9 46,d6a6,391
8/1k6/Q7/1P5p/4q1pP/6P1/5P2/6K1 b - - 10 46,b7b8,376
1k6/8/Q7/1P5p/4q1pP/6P1/5P2/6K1 w - - 11 47,a6b6,413
1k6/8/1Q6/1P5p/4q1pP/6P1/5P2/6K1 b - - 12 47,b8a8,444
k7/8/1Q6/1P5p/4q1pP/6P1/5P2/6K1 w - - 13 48,b6c6,457
k7/8/2Q5/1P5p/4q1pP/6P1/5P2/6K1 b - - 14 48,e4c6,511
k7/8/2q5/1P5p/6pP/6P1/5P2/6K1 w - - 0 49,b5c6,434
k7/8/2P5/7p/6pP/6P1/5P2/6K1 b - - 0 49,a8a7,582
8/k7/2P5/7p/6pP/6P1/5P2/6K1 w - - 1 50,f2f3,522
8/k7/2P5/7p/6pP/5PP1/8/6K1 b - - 0 50,a7b6,560
8/8/1kP5/7p/6pP/5PP1/8/6K1 w - - 1 51,f3g4,538
8/8/1kP5/7p/6PP/6P1/8/6K1 b - - 0 51,h5g4,627
8/8/1kP5/8/6pP/6P1/8/6K1 w - - 0 52,h4h5,575
8/8/1kP5/7P/6p1/6P1/8/6K1 b - - 0 52,b6c6,550
8/8/2k5/7P/6p1/6P1/8/6K1 w - - 0 53,g1f1,550
8/8/2k5/7P/6p1/6P1/8/5K2 b - - 1 53,c6d7,604
8/3k4/8/7P/6p1/6P1/8/5K2 w - - 2 54,h5h6,608
8/3k4/7P/8/6p1/6P1/8/5K2 b - - 0 54,d7e6,633
8/8/4k2P/8/6p1/6P1/8/5K2 w - - 1 55,h6h7,541
8/7P/4k3/8/6p1/6P1/8/5K2 b - - 0 55,e6d5,618
8/7P/8/3k4/6p1/6P1/8/5K2 w - - 1 56,f1e2,589
8/7P/8/3k4/6p1/6P1/4K3/8 b - - 2 56,d5e5,581
8/7P/8/4k3/6p1/6P1/4K3/8 w - - 3 57,h7h8r,742
7R/8/8/4k3/6p1/6P1/4K3/8 b - - 0 57,e5e4,753
7R/8/8/8/4k1p1/6P1/4K3/8 w - - 1 58,h8e8,777
4R3/8/8/8/4k1p1/6P1/4K3/8 b - - 2 58,e4d4,756
4R3/8/8/8/3k2p1/6P1/4K3/8 w - - 3 59,e8e7,759
8/4R3/8/8/3k2p1/6P1/4K3/8 b - - 4 59,d4c3,775
8/4R3/8/8/6p1/2k3P1/4K3/8 w - - 5 60,e7e4,775
8/8/8/8/4R1p1/2k3P1/4K3/8 b - - 6 60,c3b3,787
8/8/8/8/4R1p1/1k4P1/4K3/8 w - - 7 61,e4g4,791
8/8/8/8/6R1/1k4P1/4K3/8 b - - 0 61,b3c2,799
8/8/8/8/6R1/6P1/2k1K3/8 w - - 1 62,e2e3,789
8/8/8/8/6R1/4K1P1/2k5/8 b - - 2 62,c2c3,830
8/8/8/8/6R1/2k1K1P1/8/8 w - - 3 63,g4g8,867
6R1/8/8/8/8/2k1K1P1/8/8 b - - 4 63,c3b3,845
6R1/8/8/8/8/1k2K1P1/8/8 w - - 5 64,e3f4,832
6R1/8/8/8/5K2/1k4P1/8/8 b - - 6 64,b3b4,914
6R1/8/8/8/1k3K2/6P1/8/8 w - - 7 65,f4f5,890
6R1/8/8/5K2/1k6/6P1/8/8 b - - 8 65,b4b3,941
6R1/8/8/5K2/8/1k4P1/8/8 w - - 9 66,g3g4,870
6R1/8/8/5K2/6P1/1k6/8/8 b - - 0 66,b3b4,983
6R1/8/8/5K2/1k4P1/8/8/8 w - - 1 67,g8c8,3583
2R5/8/8/5K2/1k4P1/8/8/8 b - - 2 67,b4b5,3575
2R5/8/8/1k3K2/6P1/8/8/8 w - - 3 68,f5f4,3510
2R5/8/8/1k6/5KP1/8/8/8 b - - 4 68,b5a6,1094
2R5/8/k7/8/5KP1/8/8/8 w - - 5 69,c8b8,3596
1R6/8/k7/8/5KP1/8/8/8 b - - 6 69,a6a7,3590
1R6/k7/8/8/5KP1/8/8/8 w - - 7 70,b8b1,3602
8/k7/8/8/5KP1/8/8/1R6 b - - 8 70,a7a6,5
8/8/k7/8/5KP1/8/8/1R6 w - - 9 71,g4g5,3954
8/8/k7/6P1/5K2/8/8/1R6 b - - 0 71,a6a5,3567
8/8/8/k5P1/5K2/8/8/1R6 w - - 1 72,g5g6,3950
8/8/6P1/k7/5K2/8/8/1R6 b - - 0 72,a5a6,3
8/8/k5P1/8/5K2/8/8/1R6 w - - 1 73,g6g7,3
8/6P1/k7/8/5K2/8/8/1R6 b - - 0 73,a6a5,2
8/6P1/8/k7/5K2/8/8/1R6 w - - 1 74,g7g8q,2
6Q1/8/8/k7/5K2/8/8/1R6 b - - 0 74,a5a4,1
6Q1/8/8/8/k4K2/8/8/1R6 w - - 1 75,g8a2,1
rnbqkbr1/pppppppp/7n/8/2P5/P7/1P1PPPPP/RNBQKBNR w KQq - 1 3,b1c3,145
rnbqkbr1/pppppppp/7n/8/2P5/P1N5/1P1PPPPP/R1BQKBNR b KQq - 2 3,c7c5,124
rnbqkbr1/pp1ppppp/7n/2p5/2P5/P1N5/1P1PPPPP/R1BQKBNR w KQq - 0 4,g1f3,121
rnbqkbr1/pp1ppppp/7n/2p5/2P5/P1N2N2/1P1PPPPP/R1BQKB1R b KQq - 1 4,g7g6,105
rnbqkbr1/pp1ppp1p/6pn/2p5/2P5/P1N2N2/1P1PPPPP/R1BQKB1R w KQq - 0 5,d2d4,99
rnbqkbr1/pp1ppp1p/6pn/2p5/2PP4/P1N2N2/1P2PPPP/R1BQKB1R b KQq - 0 5,c5d4,107
rnbqkbr1/pp1ppp1p/6pn/8/2Pp4/P1N2N2/1P2PPPP/R1BQKB1R w KQq - 0 6,f3d4,112
rnbqkbr1/pp1ppp1p/6pn/8/2PN4/P1N5/1P2PPPP/R1BQKB1R b KQq - 0 6,h6f5,101
rnbqkbr1/pp1ppp1p/6p1/5n2/2PN4/P1N5/1P2PPPP/R1BQKB1R w KQq - 1 7,d4f5,109
rnbqkbr1/pp1ppp1p/6p1/5N2/2P5/P1N5/1P2PPPP/R1BQKB1R b KQq - 0 7,g6f5,132
rnbqkbr1/pp1ppp1p/8/5p2/2P5/P1N5/1P2PPPP/R1BQKB1R w KQq - 0 8,g2g3,132
rnbqkbr1/pp1ppp1p/8/5p2/2P5/P1N3P1/1P2PP1P/R1BQKB1R b KQq - 0 8,b8c6,133
r1bqkbr1/pp1ppp1p/2n5/5p2/2P5/P1N3P1/1P2PP1P/R1BQKB1R w KQq - 1 9,f1g2,143
r1bqkbr1/pp1ppp1p/2n5/5p2/2P5/P1N3P1/1P2PPBP/R1BQK2R b KQq - 2 9,d7d6,137
r1bqkbr1/pp2pp1p/2np4/5p2/2P5/P1N3P1/1P2PPBP/R1BQK2R w KQq - 0 10,e1g1,144
r1bqkbr1/pp2pp1p/2np4/5p2/2P5/P1N3P1/1P2PPBP/R1BQ1RK1 b q - 1 10,g8g4,139
r1bqkb2/pp2pp1p/2np4/5p2/2P3r1/P1N3P1/1P2PPBP/R1BQ1RK1 w q - 2 11,e2e4,167
r1bqkb2/pp2pp1p/2np4/5p2/2P1P1r1/P1N3P1/1P3PBP/R1BQ1RK1 b q - 0 11,f8g7,174
r1bqk3/pp2ppbp/2np4/5p2/2P1P1r1/P1N3P1/1P3PBP/R1BQ1RK1 w q - 1 12,h2h3,139
r1bqk3/pp2ppbp/2np4/5p2/2P1P1r1/P1N3PP/1P3PB1/R1BQ1RK1 b q - 0 12,g4g6,168
r1bqk3/pp2ppbp/2np2r1/5p2/2P1P3/P1N3PP/1P3PB1/R1BQ1RK1 w q - 1 13,e4f5,149
r1bqk3/pp2ppbp/2np2r1/5P2/2P5/P1N3PP/1P3PB1/R1BQ1RK1 b q - 0 13,c8f5,152
r2qk3/pp2ppbp/2np2r1/5b2/2P5/P1N3PP/1P3PB1/R1BQ1RK1 w q - 0 14,c3d5,147
r2qk3/pp2ppbp/2np2r1/3N1b2/2P5/P5PP/1P3PB1/R1BQ1RK1 b q - 1 14,d8d7,139
r3k3/pp1qppbp/2np2r1/3N1b2/2P5/P5PP/1P3PB1/R1BQ1RK1 w q - 2 15,g1h2,127
r3k3/pp1qppbp/2np2r1/3N1b2/2P5/P5PP/1P3PBK/R1BQ1R2 b q - 3 15,a8c8,100
2r1k3/pp1qppbp/2np2r1/3N1b2/2P5/P5PP/1P3PBK/R1BQ1R2 w - - 4 16,f1e1,121
2r1k3/pp1qppbp/2np2r1/3N1b2/2P5/P5PP/1P3PBK/R1BQR3 b - - 5 16,g6e6,86
2r1k3/pp1qppbp/2npr3/3N1b2/2P5/P5PP/1P3PBK/R1BQR3 w - - 6 17,c1e3,106
2r1k3/pp1qppbp/2npr3/3N1b2/2P5/P3B1PP/1P3PBK/R2QR3 b - - 7 17,g7b2,91
2r1k3/pp1qpp1p/2npr3/3N1b2/2P5/P3B1PP/1b3PBK/R2QR3 w - - 0 18,a1a2,92
2r1k3/pp1qpp1p/2npr3/3N1b2/2P5/P3B1PP/Rb3PBK/3QR3 b - - 1 18,b2g7,58
2r1k3/pp1qppbp/2npr3/3N1b2/2P5/P3B1PP/R4PBK/3QR3 w - - 2 19,g3g4,74
2r1k3/pp1qppbp/2npr3/3N1b2/2P3P1/P3B2P/R4PBK/3QR3 b - - 0 19,f5e4,39
2r1k3/pp1qppbp/2npr3/3N4/2P1b1P1/P3B2P/R4PBK/3QR3 w - - 1 20,f2f3,100
2r1k3/pp1qppbp/2npr3/3N4/2P1b1P1/P3BP1P/R5BK/3QR3 b - - 0 20,e4g6,39
2r1k3/pp1qppbp/2npr1b1/3N4/2P3P1/P3BP1P/R5BK/3QR3 w - - 1 21,f3f4,89
2r1k3/pp1qppbp/2npr1b1/3N4/2P2PP1/P3B2P/R5BK/3QR3 b - - 0 21,g6e4,121
2r1k3/pp1qppbp/2npr3/3N4/2P1bPP1/P3B2P/R5BK/3QR3 w - - 1 22,f4f5,101
2r1k3/pp1qppbp/2npr3/3N1P2/2P1b1P1/P3B2P/R5BK/3QR3 b - - 0 22,e6e5,76
2r1k3/pp1qppbp/2np4/3NrP2/2P1b1P1/P3B2P/R5BK/3QR3 w - - 1 23,a2f2,32
2r1k3/pp1qppbp/2np4/3NrP2/2P1b1P1/P3B2P/5RBK/3QR3 b - - 2 23,e4g2,23
2r1k3/pp1qppbp/2np4/3NrP2/2P3P1/P3B2P/5RbK/3QR3 w - - 0 24,h2g2,53
2r1k3/pp1qppbp/2np4/3NrP2/2P3P1/P3B2P/5RK1/3QR3 b - - 0 24,c6a5,35
2r1k3/pp1qppbp/3p4/n2NrP2/2P3P1/P3B2P/5RK1/3QR3 w - - 1 25,f5f6,96
2r1k3/pp1qppbp/3p1P2/n2Nr3/2P3P1/P3B2P/5RK1/3QR3 b - - 0 25,e7f6,93
2r1k3/pp1q1pbp/3p1p2/n2Nr3/2P3P1/P3B2P/5RK1/3QR3 w - - 0 26,e3d4,120
2r1k3/pp1q1pbp/3p1p2/n2Nr3/2PB2P1/P6P/5RK1/3QR3 b - - 1 26,a5c4,91
2r1k3/pp1q1pbp/3p1p2/3Nr3/2nB2P1/P6P/5RK1/3QR3 w - - 0 27,d4e5,100
2r1k3/pp1q1pbp/3p1p2/3NB3/2n3P1/P6P/5RK1/3QR3 b - - 0 27,d6e5,128
2r1k3/pp1q1pbp/5p2/3Np3/2n3P1/P6P/5RK1/3QR3 w - - 0 28,d5f6,145
2r1k3/pp1q1pbp/5N2/4p3/2n3P1/P6P/5RK1/3QR3 b - - 0 28,g7f6,153
2r1k3/pp1q1p1p/5b2/4p3/2n3P1/P6P/5RK1/3QR3 w - - 0 29,d1d7,139
2r1k3/pp1Q1p1p/5b2/4p3/2n3P1/P6P/5RK1/4R3 b - - 0 29,e8d7,126
2r5/pp1k1p1p/5b2/4p3/2n3P1/P6P/5RK1/4R3 w - - 0 30,f2f6,164
2r5/pp1k1p1p/5R2/4p3/2n3P1/P6P/6K1/4R3 b - - 0 30,d7e7,146
2r5/pp2kp1p/5R2/4p3/2n3P1/P6P/6K1/4R3 w - - 1 31,f6h6,154
2r5/pp2kp1p/7R/4p3/2n3P1/P6P/6K1/4R3 b - - 2 31,e7f8,157
2r2k2/pp3p1p/7R/4p3/2n3P1/P6P/6K1/4R3 w - - 3 32,h6h7,150
2r2k2/pp3p1R/8/4p3/2n3P1/P6P/6K1/4R3 b - - 0 32,c8c5,175
5k2/pp3p1R/8/2r1p3/2n3P1/P6P/6K1/4R3 w - - 1 33,h7h8,167
5k1R/pp3p2/8/2r1p3/2n3P1/P6P/6K1/4R3 b - - 2 33,f8g7,142
7R/pp3pk1/8/2r1p3/2n3P1/P6P/6K1/4R3 w - - 3 34,h8e8,171
4R3/pp3pk1/8/2r1p3/2n3P1/P6P/6K1/4R3 b - - 4 34,c5a5,149
4R3/pp3pk1/8/r3p3/2n3P1/P6P/6K1/4R3 w - - 5 35,e1c1,163
4R3/pp3pk1/8/r3p3/2n3P1/P6P/6K1/2R5 b - - 6 35,b7b5,196
4R3/p4pk1/8/rp2p3/2n3P1/P6P/6K1/2R5 w - - 0 36,c1c3,203
4R3/p4pk1/8/rp2p3/2n3P1/P1R4P/6K1/8 b - - 1 36,a5a4,188
4R3/p4pk1/8/1p2p3/r1n3P1/P1R4P/6K1/8 w - - 2 37,e8e7,190
8/p3Rpk1/8/1p2p3/r1n3P1/P1R4P/6K1/8 b - - 3 37,g7f6,220
8/p3Rp2/5k2/1p2p3/r1n3P1/P1R4P/6K1/8 w - - 4 38,e7b7,219
8/pR3p2/5k2/1p2p3/r1n3P1/P1R4P/6K1/8 b - - 5 38,c4d6,199
8/pR3p2/3n1k2/1p2p3/r5P1/P1R4P/6K1/8 w - - 6 39,c3c6,215
8/pR3p2/2Rn1k2/1p2p3/r5P1/P6P/6K1/8 b - - 7 39,f6e6,219
8/pR3p2/2Rnk3/1p2p3/r5P1/P6P/6K1/8 w - - 8 40,b7b5,191
8/p4p2/2Rnk3/1R2p3/r5P1/P6P/6K1/8 b - - 0 40,a4a3,214
8/p4p2/2Rnk3/1R2p3/6P1/r6P/6K1/8 w - - 0 41,b5c5,207
8/p4p2/2Rnk3/2R1p3/6P1/r6P/6K1/8 b - - 1 41,a3d3,197
8/p4p2/2Rnk3/2R1p3/6P1/3r3P/6K1/8 w - - 2 42,c5a5,175
8/p4p2/2Rnk3/R3p3/6P1/3r3P/6K1/8 b - - 3 42,f7f5,171
8/p7/2Rnk3/R3pp2/6P1/3r3P/6K1/8 w - - 0 43,c6c5,177
8/p7/3nk3/R1R1pp2/6P1/3r3P/6K1/8 b - - 1 43,d3e3,184
8/p7/3nk3/R1R1pp2/6P1/4r2P/6K1/8 w - - 2 44,a5a7,154
8/R7/3nk3/2R1pp2/6P1/4r2P/6K1/8 b - - 0 44,f5f4,149
8/R7/3nk3/2R1p3/5pP1/4r2P/6K1/8 w - - 0 45,a7a6,139
8/8/R2nk3/2R1p3/5pP1/4r2P/6K1/8 b - - 1 45,e3g3,146
8/8/R2nk3/2R1p3/5pP1/6rP/6K1/8 w - - 2 46,g2h2,134
8/8/R2nk3/2R1p3/5pP1/6rP/7K/8 b - - 3 46,g3d3,142
8/8/R2nk3/2R1p3/5pP1/3r3P/7K/8 w - - 4 47,a6a5,142
8/8/3nk3/R1R1p3/5pP1/3r3P/7K/8 b - - 5 47,d3d2,137
8/8/3nk3/R1R1p3/5pP1/7P/3r3K/8 w - - 6 48,h2g1,125
8/8/3nk3/R1R1p3/5pP1/7P/3r4/6K1 b - - 7 48,e5e4,134
8/8/3nk3/R1R5/4ppP1/7P/3r4/6K1 w - - 0 49,c5e5,172
8/8/3nk3/R3R3/4ppP1/7P/3r4/6K1 b - - 1 49,e6d7,183
8/3k4/3n4/R3R3/4ppP1/7P/3r4/6K1 w - - 2 50,a5a1,136
8/3k4/3n4/4R3/4ppP1/7P/3r4/R5K1 b - - 3 50,f4f3,113
8/3k4/3n4/4R3/4p1P1/5p1P/3r4/R5K1 w - - 0 51,a1a7,96
8/R2k4/3n4/4R3/4p1P1/5p1P/3r4/6K1 b - - 1 51,d7c6,114
8/R7/2kn4/4R3/4p1P1/5p1P/3r4/6K1 w - - 2 52,a7a1,120
8/8/2kn4/4R3/4p1P1/5p1P/3r4/R5K1 b - - 3 52,c6b6,93
8/8/1k1n4/4R3/4p1P1/5p1P/3r4/R5K1 w - - 4 53,a1c1,195
8/8/1k1n4/4R3/4p1P1/5p1P/3r4/2R3K1 b - - 5 53,d2g2,188
8/8/1k1n4/4R3/4p1P1/5p1P/6r1/2R3K1 w - - 6 54,g1h1,238
8/8/1k1n4/4R3/4p1P1/5p1P/6r1/2R4K b - - 7 54,g2g3,182
8/8/1k1n4/4R3/4p1P1/5prP/8/2R4K w - - 8 55,e5e6,255
8/8/1k1nR3/8/4p1P1/5prP/8/2R4K b - - 9 55,e4e3,252
8/8/1k1nR3/8/6P1/4pprP/8/2R4K w - - 0 56,e6d6,253
8/8/1k1R4/8/6P1/4pprP/8/2R4K b - - 0 56,b6b7,328
8/1k6/3R4/8/6P1/4pprP/8/2R4K w - - 1 57,d6d7,264
8/1k1R4/8/8/6P1/4pprP/8/2R4K b - - 2 57,b7b6,364
8/3R4/1k6/8/6P1/4pprP/8/2R4K w - - 3 58,d7f7,306
8/5R2/1k6/8/6P1/4pprP/8/2R4K b - - 4 58,e3e2,199
8/5R2/1k6/8/6P1/5prP/4p3/2R4K w - - 0 59,f7e7,249
8/4R3/1k6/8/6P1/5prP/4p3/2R4K b - - 1 59,g3h3,398
8/4R3/1k6/8/6P1/5p1r/4p3/2R4K w - - 0 60,h1g1,397
8/4R3/1k6/8/6P1/5p1r/4p3/2R3K1 b - - 1 60,h3h4,395
8/4R3/1k6/8/6Pr/5p2/4p3/2R3K1 w - - 2 61,g1f2,394
8/4R3/1k6/8/6Pr/5p2/4pK2/2R5 b - - 3 61,h4g4,392
8/4R3/1k6/8/6r1/5p2/4pK2/2R5 w - - 0 62,e7e6,391
8/8/1k2R3/8/6r1/5p2/4pK2/2R5 b - - 1 62,b6b7,395
8/1k6/4R3/8/6r1/5p2/4pK2/2R5 w - - 2 63,f2f3,406
8/1k6/4R3/8/6r1/5K2/4p3/2R5 b - - 0 63,g4g8,418
6r1/1k6/4R3/8/8/5K2/4p3/2R5 w - - 1 64,c1c3,415
6r1/1k6/4R3/8/8/2R2K2/4p3/8 b - - 2 64,g8h8,403
7r/1k6/4R3/8/8/2R2K2/4p3/8 w - - 3 65,f3e2,411
7r/1k6/4R3/8/8/2R5/4K3/8 b - - 0 65,h8h2,408
8/1k6/4R3/8/8/2R5/4K2r/8 w - - 1 66,e2d1,407
8/1k6/4R3/8/8/2R5/7r/3K4 b - - 2 66,h2h5,398
8/1k6/4R3/7r/8/2R5/8/3K4 w - - 3 67,c3g3,405
8/1k6/4R3/7r/8/6R1/8/3K4 b - - 4 67,h5h1,421
8/1k6/4R3/8/8/6R1/8/3K3r w - - 5 68,d1e2,402
8/1k6/4R3/8/8/6R1/4K3/7r b - - 6 68,h1h8,410
7r/1k6/4R3/8/8/6R1/4K3/8 w - - 7 69,g3g7,425
7r/1k4R1/4R3/8/8/8/4K3/8 b - - 8 69,b7c8,487
2k4r/6R1/4R3/8/8/8/4K3/8 w - - 9 70,e6f6,442
2k4r/6R1/5R2/8/8/8/4K3/8 b - - 10 70,h8e8,440
2k1r3/6R1/5R2/8/8/8/4K3/8 w - - 11 71,e2f2,447
2k1r3/6R1/5R2/8/8/8/5K2/8 b - - 12 71,e8d8,425
2kr4/6R1/5R2/8/8/8/5K2/8 w - - 13 72,g7f7,492
2kr4/5R2/5R2/8/8/8/5K2/8 b - - 14 72,d8d4,427
2k5/5R2/5R2/8/3r4/8/5K2/8 w - - 15 73,f7g7,430
2k5/6R1/5R2/8/3r4/8/5K2/8 b - - 16 73,d4d8,447
2kr4/6R1/5R2/8/8/8/5K2/8 w - - 17 74,g7f7,527
2kr4/5R2/5R2/8/8/8/5K2/8 b - - 18 74,d8d3,418
2k5/5R2/5R2/8/8/3r4/5K2/8 w - - 19 75,f7e7,417
2k5/4R3/5R2/8/8/3r4/5K2/8 b - - 20 75,d3d8,427
2kr4/4R3/5R2/8/8/8/5K2/8 w - - 21 76,e7h7,410
2kr4/7R/5R2/8/8/8/5K2/8 b - - 22 76,c8b8,452
1k1r4/7R/5R2/8/8/8/5K2/8 w - - 23 77,f6f7,425
1k1r4/5R1R/8/8/8/8/5K2/8 b - - 24 77,b8a8,536
k2r4/5R1R/8/8/8/8/5K2/8 w - - 25 78,f7a7,533
k2r4/R6R/8/8/8/8/5K2/8 b - - 26 78,a8b8,537
